state,state_abbr,measure,series_id,frequency,series_url
Alabama,AL,Annual Population,ALPOP,Annual,https://fred.stlouisfed.org/series/ALPOP
Alabama,AL,Unemployed Persons,LASST010000000000004,Monthly,https://fred.stlouisfed.org/series/LASST010000000000004
Alabama,AL,Unemployment Rate,ALUR,Monthly,https://fred.stlouisfed.org/series/ALUR
Alabama,AL,Continued Claims,ALCCLAIMS,Weekly,https://fred.stlouisfed.org/series/ALCCLAIMS
Alabama,AL,Covered Employment,ALCEMPLOY,Weekly,https://fred.stlouisfed.org/series/ALCEMPLOY
Alabama,AL,Initial Claims,ALICLAIMS,Weekly,https://fred.stlouisfed.org/series/ALICLAIMS
Alabama,AL,Insured Unemployment Rate,ALINSUREDUR,Weekly,https://fred.stlouisfed.org/series/ALINSUREDUR
Alaska,AK,Annual Population,AKPOP,Annual,https://fred.stlouisfed.org/series/AKPOP
Alaska,AK,Unemployed Persons,LASST020000000000004,Monthly,https://fred.stlouisfed.org/series/LASST020000000000004
Alaska,AK,Unemployment Rate,AKUR,Monthly,https://fred.stlouisfed.org/series/AKUR
Alaska,AK,Continued Claims,AKCCLAIMS,Weekly,https://fred.stlouisfed.org/series/AKCCLAIMS
Alaska,AK,Covered Employment,AKCEMPLOY,Weekly,https://fred.stlouisfed.org/series/AKCEMPLOY
Alaska,AK,Initial Claims,AKICLAIMS,Weekly,https://fred.stlouisfed.org/series/AKICLAIMS
Alaska,AK,Insured Unemployment Rate,AKINSUREDUR,Weekly,https://fred.stlouisfed.org/series/AKINSUREDUR
Arizona,AZ,Annual Population,AZPOP,Annual,https://fred.stlouisfed.org/series/AZPOP
Arizona,AZ,Unemployed Persons,LASST040000000000004,Monthly,https://fred.stlouisfed.org/series/LASST040000000000004
Arizona,AZ,Unemployment Rate,AZUR,Monthly,https://fred.stlouisfed.org/series/AZUR
Arizona,AZ,Continued Claims,AZCCLAIMS,Weekly,https://fred.stlouisfed.org/series/AZCCLAIMS
Arizona,AZ,Covered Employment,AZCEMPLOY,Weekly,https://fred.stlouisfed.org/series/AZCEMPLOY
Arizona,AZ,Initial Claims,AZICLAIMS,Weekly,https://fred.stlouisfed.org/series/AZICLAIMS
Arizona,AZ,Insured Unemployment Rate,AZINSUREDUR,Weekly,https://fred.stlouisfed.org/series/AZINSUREDUR
Arkansas,AR,Annual Population,ARPOP,Annual,https://fred.stlouisfed.org/series/ARPOP
Arkansas,AR,Unemployed Persons,LASST050000000000004,Monthly,https://fred.stlouisfed.org/series/LASST050000000000004
Arkansas,AR,Unemployment Rate,ARUR,Monthly,https://fred.stlouisfed.org/series/ARUR
Arkansas,AR,Continued Claims,ARCCLAIMS,Weekly,https://fred.stlouisfed.org/series/ARCCLAIMS
Arkansas,AR,Covered Employment,ARCEMPLOY,Weekly,https://fred.stlouisfed.org/series/ARCEMPLOY
Arkansas,AR,Initial Claims,ARICLAIMS,Weekly,https://fred.stlouisfed.org/series/ARICLAIMS
Arkansas,AR,Insured Unemployment Rate,ARINSUREDUR,Weekly,https://fred.stlouisfed.org/series/ARINSUREDUR
California,CA,Annual Population,CAPOP,Annual,https://fred.stlouisfed.org/series/CAPOP
California,CA,Unemployed Persons,LASST060000000000004,Monthly,https://fred.stlouisfed.org/series/LASST060000000000004
California,CA,Unemployment Rate,CAUR,Monthly,https://fred.stlouisfed.org/series/CAUR
California,CA,Continued Claims,CACCLAIMS,Weekly,https://fred.stlouisfed.org/series/CACCLAIMS
California,CA,Covered Employment,CACEMPLOY,Weekly,https://fred.stlouisfed.org/series/CACEMPLOY
California,CA,Initial Claims,CAICLAIMS,Weekly,https://fred.stlouisfed.org/series/CAICLAIMS
California,CA,Insured Unemployment Rate,CAINSUREDUR,Weekly,https://fred.stlouisfed.org/series/CAINSUREDUR
Colorado,CO,Annual Population,COPOP,Annual,https://fred.stlouisfed.org/series/COPOP
Colorado,CO,Unemployed Persons,LASST080000000000004,Monthly,https://fred.stlouisfed.org/series/LASST080000000000004
Colorado,CO,Unemployment Rate,COUR,Monthly,https://fred.stlouisfed.org/series/COUR
Colorado,CO,Continued Claims,COCCLAIMS,Weekly,https://fred.stlouisfed.org/series/COCCLAIMS
Colorado,CO,Covered Employment,COCEMPLOY,Weekly,https://fred.stlouisfed.org/series/COCEMPLOY
Colorado,CO,Initial Claims,COICLAIMS,Weekly,https://fred.stlouisfed.org/series/COICLAIMS
Colorado,CO,Insured Unemployment Rate,COINSUREDUR,Weekly,https://fred.stlouisfed.org/series/COINSUREDUR
Connecticut,CT,Annual Population,CTPOP,Annual,https://fred.stlouisfed.org/series/CTPOP
Connecticut,CT,Unemployed Persons,LASST090000000000004,Monthly,https://fred.stlouisfed.org/series/LASST090000000000004
Connecticut,CT,Unemployment Rate,CTUR,Monthly,https://fred.stlouisfed.org/series/CTUR
Connecticut,CT,Continued Claims,CTCCLAIMS,Weekly,https://fred.stlouisfed.org/series/CTCCLAIMS
Connecticut,CT,Covered Employment,CTCEMPLOY,Weekly,https://fred.stlouisfed.org/series/CTCEMPLOY
Connecticut,CT,Initial Claims,CTICLAIMS,Weekly,https://fred.stlouisfed.org/series/CTICLAIMS
Connecticut,CT,Insured Unemployment Rate,CTINSUREDUR,Weekly,https://fred.stlouisfed.org/series/CTINSUREDUR
Delaware,DE,Annual Population,DEPOP,Annual,https://fred.stlouisfed.org/series/DEPOP
Delaware,DE,Unemployed Persons,LASST100000000000004,Monthly,https://fred.stlouisfed.org/series/LASST100000000000004
Delaware,DE,Unemployment Rate,DEUR,Monthly,https://fred.stlouisfed.org/series/DEUR
Delaware,DE,Continued Claims,DECCLAIMS,Weekly,https://fred.stlouisfed.org/series/DECCLAIMS
Delaware,DE,Covered Employment,DECEMPLOY,Weekly,https://fred.stlouisfed.org/series/DECEMPLOY
Delaware,DE,Initial Claims,DEICLAIMS,Weekly,https://fred.stlouisfed.org/series/DEICLAIMS
Delaware,DE,Insured Unemployment Rate,DEINSUREDUR,Weekly,https://fred.stlouisfed.org/series/DEINSUREDUR
Florida,FL,Annual Population,FLPOP,Annual,https://fred.stlouisfed.org/series/FLPOP
Florida,FL,Unemployed Persons,LASST120000000000004,Monthly,https://fred.stlouisfed.org/series/LASST120000000000004
Florida,FL,Unemployment Rate,FLUR,Monthly,https://fred.stlouisfed.org/series/FLUR
Florida,FL,Continued Claims,FLCCLAIMS,Weekly,https://fred.stlouisfed.org/series/FLCCLAIMS
Florida,FL,Covered Employment,FLCEMPLOY,Weekly,https://fred.stlouisfed.org/series/FLCEMPLOY
Florida,FL,Initial Claims,FLICLAIMS,Weekly,https://fred.stlouisfed.org/series/FLICLAIMS
Florida,FL,Insured Unemployment Rate,FLINSUREDUR,Weekly,https://fred.stlouisfed.org/series/FLINSUREDUR
Georgia,GA,Annual Population,GAPOP,Annual,https://fred.stlouisfed.org/series/GAPOP
Georgia,GA,Unemployed Persons,LASST130000000000004,Monthly,https://fred.stlouisfed.org/series/LASST130000000000004
Georgia,GA,Unemployment Rate,GAUR,Monthly,https://fred.stlouisfed.org/series/GAUR
Georgia,GA,Continued Claims,GACCLAIMS,Weekly,https://fred.stlouisfed.org/series/GACCLAIMS
Georgia,GA,Covered Employment,GACEMPLOY,Weekly,https://fred.stlouisfed.org/series/GACEMPLOY
Georgia,GA,Initial Claims,GAICLAIMS,Weekly,https://fred.stlouisfed.org/series/GAICLAIMS
Georgia,GA,Insured Unemployment Rate,GAINSUREDUR,Weekly,https://fred.stlouisfed.org/series/GAINSUREDUR
Hawaii,HI,Annual Population,HIPOP,Annual,https://fred.stlouisfed.org/series/HIPOP
Hawaii,HI,Unemployed Persons,LASST150000000000004,Monthly,https://fred.stlouisfed.org/series/LASST150000000000004
Hawaii,HI,Unemployment Rate,HIUR,Monthly,https://fred.stlouisfed.org/series/HIUR
Hawaii,HI,Continued Claims,HICCLAIMS,Weekly,https://fred.stlouisfed.org/series/HICCLAIMS
Hawaii,HI,Covered Employment,HICEMPLOY,Weekly,https://fred.stlouisfed.org/series/HICEMPLOY
Hawaii,HI,Initial Claims,HIICLAIMS,Weekly,https://fred.stlouisfed.org/series/HIICLAIMS
Hawaii,HI,Insured Unemployment Rate,HIINSUREDUR,Weekly,https://fred.stlouisfed.org/series/HIINSUREDUR
Idaho,ID,Annual Population,IDPOP,Annual,https://fred.stlouisfed.org/series/IDPOP
Idaho,ID,Unemployed Persons,LASST160000000000004,Monthly,https://fred.stlouisfed.org/series/LASST160000000000004
Idaho,ID,Unemployment Rate,IDUR,Monthly,https://fred.stlouisfed.org/series/IDUR
Idaho,ID,Continued Claims,IDCCLAIMS,Weekly,https://fred.stlouisfed.org/series/IDCCLAIMS
Idaho,ID,Covered Employment,IDCEMPLOY,Weekly,https://fred.stlouisfed.org/series/IDCEMPLOY
Idaho,ID,Initial Claims,IDICLAIMS,Weekly,https://fred.stlouisfed.org/series/IDICLAIMS
Idaho,ID,Insured Unemployment Rate,IDINSUREDUR,Weekly,https://fred.stlouisfed.org/series/IDINSUREDUR
Illinois,IL,Annual Population,ILPOP,Annual,https://fred.stlouisfed.org/series/ILPOP
Illinois,IL,Unemployed Persons,LASST170000000000004,Monthly,https://fred.stlouisfed.org/series/LASST170000000000004
Illinois,IL,Unemployment Rate,ILUR,Monthly,https://fred.stlouisfed.org/series/ILUR
Illinois,IL,Continued Claims,ILCCLAIMS,Weekly,https://fred.stlouisfed.org/series/ILCCLAIMS
Illinois,IL,Covered Employment,ILCEMPLOY,Weekly,https://fred.stlouisfed.org/series/ILCEMPLOY
Illinois,IL,Initial Claims,ILICLAIMS,Weekly,https://fred.stlouisfed.org/series/ILICLAIMS
Illinois,IL,Insured Unemployment Rate,ILINSUREDUR,Weekly,https://fred.stlouisfed.org/series/ILINSUREDUR
Indiana,IN,Annual Population,INPOP,Annual,https://fred.stlouisfed.org/series/INPOP
Indiana,IN,Unemployed Persons,LASST180000000000004,Monthly,https://fred.stlouisfed.org/series/LASST180000000000004
Indiana,IN,Unemployment Rate,INUR,Monthly,https://fred.stlouisfed.org/series/INUR
Indiana,IN,Continued Claims,INCCLAIMS,Weekly,https://fred.stlouisfed.org/series/INCCLAIMS
Indiana,IN,Covered Employment,INCEMPLOY,Weekly,https://fred.stlouisfed.org/series/INCEMPLOY
Indiana,IN,Initial Claims,INICLAIMS,Weekly,https://fred.stlouisfed.org/series/INICLAIMS
Indiana,IN,Insured Unemployment Rate,ININSUREDUR,Weekly,https://fred.stlouisfed.org/series/ININSUREDUR
Iowa,IA,Annual Population,IAPOP,Annual,https://fred.stlouisfed.org/series/IAPOP
Iowa,IA,Unemployed Persons,LASST190000000000004,Monthly,https://fred.stlouisfed.org/series/LASST190000000000004
Iowa,IA,Unemployment Rate,IAUR,Monthly,https://fred.stlouisfed.org/series/IAUR
Iowa,IA,Continued Claims,IACCLAIMS,Weekly,https://fred.stlouisfed.org/series/IACCLAIMS
Iowa,IA,Covered Employment,IACEMPLOY,Weekly,https://fred.stlouisfed.org/series/IACEMPLOY
Iowa,IA,Initial Claims,IAICLAIMS,Weekly,https://fred.stlouisfed.org/series/IAICLAIMS
Iowa,IA,Insured Unemployment Rate,IAINSUREDUR,Weekly,https://fred.stlouisfed.org/series/IAINSUREDUR
Kansas,KS,Annual Population,KSPOP,Annual,https://fred.stlouisfed.org/series/KSPOP
Kansas,KS,Unemployed Persons,LASST200000000000004,Monthly,https://fred.stlouisfed.org/series/LASST200000000000004
Kansas,KS,Unemployment Rate,KSUR,Monthly,https://fred.stlouisfed.org/series/KSUR
Kansas,KS,Continued Claims,KSCCLAIMS,Weekly,https://fred.stlouisfed.org/series/KSCCLAIMS
Kansas,KS,Covered Employment,KSCEMPLOY,Weekly,https://fred.stlouisfed.org/series/KSCEMPLOY
Kansas,KS,Initial Claims,KSICLAIMS,Weekly,https://fred.stlouisfed.org/series/KSICLAIMS
Kansas,KS,Insured Unemployment Rate,KSINSUREDUR,Weekly,https://fred.stlouisfed.org/series/KSINSUREDUR
Kentucky,KY,Annual Population,KYPOP,Annual,https://fred.stlouisfed.org/series/KYPOP
Kentucky,KY,Unemployed Persons,LASST210000000000004,Monthly,https://fred.stlouisfed.org/series/LASST210000000000004
Kentucky,KY,Unemployment Rate,KYUR,Monthly,https://fred.stlouisfed.org/series/KYUR
