cause,dimension,group,cause_share,lf_share,ratio
Temporary Layoff,Age,16–24,0.16755379838271317,0.1423807387116612,1.1768010188655542
Temporary Layoff,Age,25–34,0.2258721934886243,0.22511262853358457,1.0033741552394801
Temporary Layoff,Age,35–44,0.21358128340214666,0.231277218616216,0.9234860427674281
Temporary Layoff,Age,45–54,0.19074364001387606,0.21327676743243904,0.894347951303693
Temporary Layoff,Age,55–64,0.13882320518259772,0.14006340053843,0.991145471614535
Temporary Layoff,Age,65+,0.06342587953004213,0.04788924616766923,1.3244284386514715
Temporary Layoff,Age (single year),16,0.009481720286803021,0.006794989564567532,1.395398800352166
Temporary Layoff,Age (single year),17,0.013357486147011656,0.010178466180715995,1.312327998133805
Temporary Layoff,Age (single year),18,0.014906146873457244,0.012924601401672078,1.1533157898029112
Temporary Layoff,Age (single year),19,0.017454778597608623,0.014901716512966432,1.1713267114174863
Temporary Layoff,Age (single year),20,0.02192797127273599,0.01730159344092099,1.2673960550288326
Temporary Layoff,Age (single year),21,0.02306376766261505,0.018308497489587214,1.259730225035252
Temporary Layoff,Age (single year),22,0.022286535764546114,0.019472524182496332,1.1445119058873359
Temporary Layoff,Age (single year),23,0.021936229494660054,0.0207474374020951,1.0572982614443223
Temporary Layoff,Age (single year),24,0.02313916228327541,0.021750912536639522,1.063824896739269
Temporary Layoff,Age (single year),25,0.023388960167152653,0.02164019339891659,1.0808110508071345
Temporary Layoff,Age (single year),26,0.02177170515824015,0.021921396441712003,0.9931714531111248
Temporary Layoff,Age (single year),27,0.0216713799683567,0.022041878174744838,0.9831911689443668
Temporary Layoff,Age (single year),28,0.023953949095626356,0.022595231373944848,1.060132941291687
Temporary Layoff,Age (single year),29,0.022933312955279537,0.022865557538448992,1.0029632086038844
Temporary Layoff,Age (single year),30,0.022550358842229085,0.022851912656513488,0.9868040010997307
Temporary Layoff,Age (single year),31,0.023057212080580567,0.022570042884797088,1.0215847704973406
Temporary Layoff,Age (single year),32,0.02096306580714328,0.02261026973957322,0.927147975172231
Temporary Layoff,Age (single year),33,0.022708557208481313,0.022877058804496853,0.9926344729252338
Temporary Layoff,Age (single year),34,0.02287369220553465,0.02313908752043667,0.9885304329884391
Temporary Layoff,Age (single year),35,0.022876901660557288,0.023218290023412715,0.9852965759962865
Temporary Layoff,Age (single year),36,0.021680541009335683,0.022982719653394334,0.9433409681840533
Temporary Layoff,Age (single year),37,0.021283813271591318,0.02300123389359305,0.9253335438460927
Temporary Layoff,Age (single year),38,0.022156443852864003,0.023150763451494288,0.9570502458498359
Temporary Layoff,Age (single year),39,0.02183861948951185,0.023145137259531417,0.9435510900035157
Temporary Layoff,Age (single year),40,0.02141136048409113,0.023786594840924474,0.9001439940135193
Temporary Layoff,Age (single year),41,0.0199257434200241,0.023237961578396787,0.8574652020488795
Temporary Layoff,Age (single year),42,0.022062662268257722,0.023035326551854952,0.9577751033219494
Temporary Layoff,Age (single year),43,0.020325536929985656,0.02295654409901725,0.8853918447966989
Temporary Layoff,Age (single year),44,0.020019661015927906,0.022762647264596717,0.879496166821728
Temporary Layoff,Age (single year),45,0.020144218291227787,0.022982164154382985,0.8765152905491729
Temporary Layoff,Age (single year),46,0.020199941059618722,0.02255393563327422,0.8956282126573685
Temporary Layoff,Age (single year),47,0.019951853829313623,0.02234585186189617,0.8928661101228923
Temporary Layoff,Age (single year),48,0.019624147043004348,0.022011209660484393,0.8915524110532909
Temporary Layoff,Age (single year),49,0.019624515582287984,0.02163328347638009,0.9071445674769923
Temporary Layoff,Age (single year),50,0.019973421791869842,0.021740105765744873,0.9187361831211174
Temporary Layoff,Age (single year),51,0.019126806766971153,0.020946630581474952,0.9131209285700947
Temporary Layoff,Age (single year),52,0.018014074670387212,0.02029579922791753,0.8875765111830762
Temporary Layoff,Age (single year),53,0.017195049733376645,0.019731560669106803,0.8714490466179136
Temporary Layoff,Age (single year),54,0.016889611245818743,0.019036226401776987,0.8872352581519065
Temporary Layoff,Age (single year),55,0.017216738586810863,0.018545296554051204,0.9283614600948444
Temporary Layoff,Age (single year),56,0.016577334780642848,0.017630717462071434,0.940252988359963
Temporary Layoff,Age (single year),57,0.016284457765114585,0.01668125109675712,0.9762132151035318
Temporary Layoff,Age (single year),58,0.015077172593471645,0.01593937589093754,0.9459073364374254
Temporary Layoff,Age (single year),59,0.014691188119514656,0.015025898464726056,0.9777244371777737
Temporary Layoff,Age (single year),60,0.013832774637388474,0.014042150657220271,0.9850894620814983
Temporary Layoff,Age (single year),61,0.014173929041135135,0.01281800842084978,1.1057824722661138
Temporary Layoff,Age (single year),62,0.011252471625287416,0.011078311632993242,1.015720806388538
Temporary Layoff,Age (single year),63,0.010474067438866589,0.009696856273160569,1.0801508389741965
Temporary Layoff,Age (single year),64,0.009243070594365495,0.008605534085662801,1.074084478936044
Temporary Layoff,Age (single year),65,0.00861038485436128,0.007210780136213687,1.194098931281867
Temporary Layoff,Age (single year),66,0.0072047866772125945,0.006004552318596191,1.1998874012470937
Temporary Layoff,Age (single year),67,0.006419075440144497,0.005155096065696127,1.2451902657759077
Temporary Layoff,Age (single year),68,0.005880791686065874,0.004462760600614543,1.3177475137824022
Temporary Layoff,Age (single year),69,0.0050697154582176164,0.0038434856766041154,1.319041069693
Temporary Layoff,Age (single year),70,0.0043930635507693555,0.003283706881437138,1.3378366916984683
Temporary Layoff,Age (single year),71,0.004081134356067652,0.0027744327480429144,1.4709797377307074
Temporary Layoff,Age (single year),72,0.0036002634263727173,0.0024360663464573964,1.4779003993911466
Temporary Layoff,Age (single year),73,0.0030163120188051507,0.002083476370779149,1.4477303707923277
Temporary Layoff,Age (single year),74,0.00270333381346428,0.001776247761767919,1.5219350991742402
Temporary Layoff,Age (single year),75,0.002280262977357668,0.0015227052162090741,1.4975078256017333
Temporary Layoff,Age (single year),76,0.0019638065152710726,0.0012873772934356982,1.5254319967304601
Temporary Layoff,Age (single year),77,0.0017823378037954507,0.0011162892929190873,1.5966629932771745
Temporary Layoff,Age (single year),78,0.001353478961422827,9.322498041922019e-4,1.451841507862393
Temporary Layoff,Age (single year),79,0.001132374506135033,7.475097373826859e-4,1.5148625489480634
Temporary Layoff,Age (single year),80,0.0025665602110829387,0.0020309934313715184,1.2636969531456117
Temporary Layoff,Age (single year),81,4.2448234108763866e-5,6.442137553676673e-5,0.6589153639623497
Temporary Layoff,Age (single year),82,3.2102010536619014e-5,4.651806916260267e-5,0.6900976569858756
Temporary Layoff,Age (single year),83,2.617447917727798e-5,4.2691042464259094e-5,0.6131140788888262
Temporary Layoff,Age (single year),84,8.932738881826226e-6,3.1973652465349985e-5,0.27937811895299364
Temporary Layoff,Age (single year),85,0.0011241808356380106,9.265460306252155e-4,1.2133027377813437
Temporary Layoff,Age (single year),86,4.272837684547083e-5,1.7554981471256343e-5,2.433974477012816
Temporary Layoff,Age (single year),87,1.5665820296455067e-5,1.468595986738331e-5,1.0667208979133855
Temporary Layoff,Age (single year),88,1.643109439747461e-5,1.2899115503091612e-5,1.2738155878623203
Temporary Layoff,Age (single year),89,1.2100511614609489e-5,9.76789705816587e-6,1.2388041706985
Temporary Layoff,Age (single year),90,4.743317199960935e-5,5.4458361795692424e-5,0.8709988775931421
Temporary Layoff,Class,Government,0.10086905410272903,0.1368287492081135,0.7371919621168899
Temporary Layoff,Class,Private Sector,0.8418501676331912,0.7542474548495317,1.1161458513653661
Temporary Layoff,Class,Self-Employed,0.05669991436380821,0.10337250742114047,0.5485009097516835
Temporary Layoff,Class,Unpaid Family,5.80863900271535e-4,7.771194630971052e-4,0.7474576662339404
Temporary Layoff,Education,Below HS,0.21379088618260994,0.10711985988003218,1.9958099872613997
Temporary Layoff,Education,College+,0.15655425127888123,0.3254796078618,0.4809955754443295
Temporary Layoff,Education,HS Diploma,0.37667126030765996,0.28733044914848077,1.310934018388742
Temporary Layoff,Education,Some College,0.25298360223084887,0.280070083109687,0.9032867753024876
Temporary Layoff,Foreign Born,Foreign Born,0.20662804766883444,0.167081888505942,1.2366872885895472
Temporary Layoff,Foreign Born,Native Born,0.7933719523311655,0.832918111494058,0.9525209517992639
Temporary Layoff,Noncitizen,Citizen,0.9921817523870151,0.9907847346040799,1.001410011412311
Temporary Layoff,Noncitizen,Noncitizen,0.007818247612984934,0.009215265395920155,0.8484017851994021
Temporary Layoff,Occupation,Blue Collar,0.5094237903539647,0.24773057166247808,2.056362228268023
Temporary Layoff,Occupation,Service,0.174524947381049,0.15251524112875503,1.144311519880909
Temporary Layoff,Occupation,White Collar,0.3160512622649863,0.5948021095431004,0.5313553149765429
Temporary Layoff,Race/Ethnicity,Asian/PI non-Hisp,0.03510115470828881,0.05224268665417047,0.6718864774441444
Temporary Layoff,Race/Ethnicity,Black non-Hisp,0.12180035627671058,0.11406594532422758,1.0678064862435346
Temporary Layoff,Race/Ethnicity,Hispanic,0.21718781166126386,0.1486600631899826,1.4609694560919504
Temporary Layoff,Race/Ethnicity,Other,0.022881105730775987,0.016937904508397248,1.3508817291674007
Temporary Layoff,Race/Ethnicity,White non-Hisp,0.6030295716229608,0.6680934003232221,0.9026126756097522
Temporary Layoff,Sex,Female,0.39692652024680014,0.4667618486911966,0.8503833836458246
Temporary Layoff,Sex,Male,0.6030734797531999,0.5332381513088035,1.1309646136027391
Permanent Job Losers,Age,16–24,0.13498267424135682,0.1423807387116612,0.9480402718988108
Permanent Job Losers,Age,25–34,0.24323023151855855,0.22511262853358457,1.0804823927604355
Permanent Job Losers,Age,35–44,0.23110203784442504,0.231277218616216,0.9992425506807843
Permanent Job Losers,Age,45–54,0.2201288388278011,0.21327676743243904,1.0321276033852709
Permanent Job Losers,Age,55–64,0.14071704260491502,0.14006340053843,1.0046667585105908
Permanent Job Losers,Age,65+,0.029839174962943485,0.04788924616766923,0.6230871719815956
Permanent Job Losers,Age (single year),16,0.0012592550130090215,0.006794989564567532,0.18532111065709445
Permanent Job Losers,Age (single year),17,0.002936402542901117,0.010178466180715995,0.28849165392565645
Permanent Job Losers,Age (single year),18,0.007464341515156689,0.012924601401672078,0.577529726695557
Permanent Job Losers,Age (single year),19,0.013465471565500394,0.014901716512966432,0.9036188249711825
Permanent Job Losers,Age (single year),20,0.019234868302769072,0.01730159344092099,1.111739700071531
Permanent Job Losers,Age (single year),21,0.021242277255637713,0.018308497489587214,1.1602414271143253
Permanent Job Losers,Age (single year),22,0.021812797807772323,0.019472524182496332,1.120183372393993
Permanent Job Losers,Age (single year),23,0.02331483267205257,0.0207474374020951,1.1237451748955856
Permanent Job Losers,Age (single year),24,0.024252427566557933,0.021750912536639522,1.1150073600684383
Permanent Job Losers,Age (single year),25,0.025022871212810917,0.02164019339891659,1.1563145833097628
Permanent Job Losers,Age (single year),26,0.024981422193837498,0.021921396441712003,1.1395908221568807
Permanent Job Losers,Age (single year),27,0.024587851856596756,0.022041878174744838,1.1155062042203394
Permanent Job Losers,Age (single year),28,0.02456459411360569,0.022595231373944848,1.0871583347418945
Permanent Job Losers,Age (single year),29,0.024820742374522496,0.022865557538448992,1.0855078575182702
Permanent Job Losers,Age (single year),30,0.024502129753849126,0.022851912656513488,1.0722135219987932
Permanent Job Losers,Age (single year),31,0.023842670260290424,0.022570042884797088,1.0563856870803983
Permanent Job Losers,Age (single year),32,0.0235821377723192,0.02261026973957322,1.0429834780363096
Permanent Job Losers,Age (single year),33,0.023237498056230963,0.022877058804496853,1.0157554891480745
Permanent Job Losers,Age (single year),34,0.02408831392449548,0.02313908752043667,1.0410226376999718
Permanent Job Losers,Age (single year),35,0.0234124008655125,0.023218290023412715,1.0083602557252944
Permanent Job Losers,Age (single year),36,0.0232680211138472,0.022982719653394334,1.0124137380064473
Permanent Job Losers,Age (single year),37,0.023277536702231115,0.02300123389359305,1.01201252115066
Permanent Job Losers,Age (single year),38,0.023020669845448823,0.023150763451494288,0.9943805911058597
Permanent Job Losers,Age (single year),39,0.02244777535040443,0.023145137259531417,0.9698700465109662
Permanent Job Losers,Age (single year),40,0.023885565775166616,0.023786594840924474,1.004160786144634
Permanent Job Losers,Age (single year),41,0.023514971954071612,0.023237961578396787,1.0119205970257026
Permanent Job Losers,Age (single year),42,0.022817212967720477,0.023035326551854952,0.9905313439493258
Permanent Job Losers,Age (single year),43,0.022715631632460556,0.02295654409901725,0.9895057171707736
Permanent Job Losers,Age (single year),44,0.02274225163756171,0.022762647264596717,0.9991039870363968
Permanent Job Losers,Age (single year),45,0.02295341106138434,0.022982164154382985,0.9987488953257188
Permanent Job Losers,Age (single year),46,0.023263870078873147,0.02255393563327422,1.0314771868263892
Permanent Job Losers,Age (single year),47,0.02257548303761286,0.02234585186189617,1.0102762327941615
Permanent Job Losers,Age (single year),48,0.022242288036512597,0.022011209660484393,1.0104982133918359
Permanent Job Losers,Age (single year),49,0.022449319770400936,0.02163328347638009,1.0377213331906745
Permanent Job Losers,Age (single year),50,0.02290280842713215,0.021740105765744873,1.0534819229453476
Permanent Job Losers,Age (single year),51,0.021761116609437706,0.020946630581474952,1.0388838684481827
Permanent Job Losers,Age (single year),52,0.02107297904786308,0.02029579922791753,1.0382926442668252
Permanent Job Losers,Age (single year),53,0.020864331480603886,0.019731560669106803,1.0574090833712222
Permanent Job Losers,Age (single year),54,0.020043231277980404,0.019036226401776987,1.0528993958650028
Permanent Job Losers,Age (single year),55,0.019829753700070066,0.018545296554051204,1.0692605341885608
Permanent Job Losers,Age (single year),56,0.01823843847980979,0.017630717462071434,1.0344694434044293
Permanent Job Losers,Age (single year),57,0.01686986430503037,0.01668125109675712,1.0113068982164004
Permanent Job Losers,Age (single year),58,0.016324971382043845,0.01593937589093754,1.0241913794959523
Permanent Job Losers,Age (single year),59,0.015345608362296198,0.015025898464726056,1.0212772566193413
Permanent Job Losers,Age (single year),60,0.015219377319264541,0.014042150657220271,1.0838352109147154
Permanent Job Losers,Age (single year),61,0.013505068002119525,0.01281800842084978,1.0536011179515357
Permanent Job Losers,Age (single year),62,0.009768392660961647,0.011078311632993242,0.8817582484202362
